Student_Unique_ID,Age,Gender,Home_Location,Family_Income,Attendance_Rate,Study_Hours,Past_Failures,Previous_Score,Exam_Score,Internet_Access,Sleep_Hours,Motivation_Level,Peer_Influence,Smoking_Habits,Alcohol_Use,Sports_Participation,Cultural_Activities,Club_Membership,Leadership_Role,Volunteer_Hours,Competitions_Attended,Awards_Received,Creative_Projects,Performance_Label,Region,Class,Section,Parental_Education_Level,Parental_Occupation,Study_Environment,Access_to_Tutoring,Mental_Health_Status,Nutrition_Quality,Transport_Mode,Device_Availability
S7_E_A_0001,13,Male,Urban,Low,91.0,4.4,0,43.7,66.23,No,7.6,Medium,Negative,No,No,Yes,No,Yes,Yes,7,4,0,3,Medium,East,7th,A,,Unemployed,Noisy,Yes,Stressed,Average,Cycle,Yes
S11_W_B_0001,17,Male,Urban,Low,84.89,3.3,0,45.18,78.81,No,6.0,Medium,Positive,No,No,Yes,No,Yes,Yes,5,5,1,1,Low,West,11th,B,Bachelor,Unemployed,Noisy,Yes,Anxious,Poor,Car,No
S12_N_C_0001,17,Female,Suburban,High,79.88,5.8,3,42.61,64.83,Yes,8.7,Medium,Neutral,Yes,No,Yes,No,No,No,17,5,0,4,Low,North,12th,C,High School,Engineer,Noisy,No,Stable,Average,Car,Yes
S12_S_B_0001,17,Female,Suburban,High,97.6,1.3,3,70.52,69.96,No,7.5,High,Negative,No,No,Yes,Yes,No,No,13,6,0,1,Low,South,12th,B,Master,Teacher,Shared,Yes,Anxious,Poor,Walk,No
S8_E_A_0001,14,Male,Urban,Low,82.29,2.9,0,99.57,53.22,No,8.7,High,Neutral,Yes,Yes,Yes,Yes,No,Yes,17,6,3,3,High,East,8th,A,Master,Engineer,Noisy,No,Stable,Poor,Car,Yes
S7_E_D_0001,13,Male,Rural,High,88.64,4.7,0,91.44,98.53,No,7.2,High,Neutral,Yes,No,Yes,No,Yes,Yes,10,8,3,1,Low,East,7th,D,High School,Teacher,Quiet,Yes,Anxious,Average,Cycle,Yes
S7_N_B_0001,13,Male,Suburban,High,80.75,5.0,3,73.88,73.53,Yes,5.1,Low,Neutral,Yes,No,Yes,No,No,Yes,18,9,2,1,Medium,North,7th,B,Master,Teacher,Shared,Yes,Stressed,Good,Bus,Yes
S11_W_D_0001,16,Male,Rural,High,79.88,3.7,2,44.4,66.95,Yes,5.0,High,Neutral,Yes,Yes,No,No,Yes,No,9,6,4,4,High,West,11th,D,,Engineer,Quiet,Yes,Stable,Average,Bus,No
S8_W_D_0001,13,Male,Rural,Medium,84.61,4.5,2,94.36,87.91,No,7.9,Medium,Negative,No,No,No,Yes,Yes,No,13,9,3,1,Low,West,8th,D,High School,Farmer,Shared,No,Anxious,Poor,Bus,Yes
S10_W_C_0001,15,Male,Urban,High,84.92,5.5,0,50.54,53.48,Yes,6.2,Medium,Positive,Yes,Yes,Yes,Yes,Yes,No,10,3,2,3,High,West,10th,C,,Engineer,Noisy,Yes,Stable,Poor,Bus,No
S6_N_C_0001,12,Male,Urban,Medium,97.3,4.1,0,42.06,43.22,No,6.5,Low,Positive,No,No,Yes,No,No,No,0,7,2,4,High,North,6th,C,,Teacher,Shared,Yes,Anxious,Average,Cycle,No
S9_N_D_0001,14,Male,Urban,Low,79.3,3.9,0,81.1,55.82,No,8.4,Medium,Positive,No,No,Yes,No,Yes,Yes,7,1,1,2,High,North,9th,D,,Engineer,Noisy,No,Stressed,Poor,Walk,Yes
S7_S_B_0001,13,Male,Rural,Medium,93.24,5.9,1,87.21,79.92,No,4.5,High,Positive,Yes,Yes,No,Yes,No,No,15,3,2,4,Low,South,7th,B,Master,Teacher,Noisy,No,Anxious,Good,Car,No
S6_E_A_0001,12,Female,Urban,Medium,76.99,4.4,1,54.24,43.1,No,8.8,Medium,Negative,Yes,Yes,No,No,No,Yes,1,6,0,0,Low,East,6th,A,High School,Farmer,Shared,Yes,Stressed,Good,Walk,No
S12_W_B_0001,17,Male,Urban,Low,97.0,4.7,1,98.5,59.06,No,7.0,Medium,Positive,No,No,Yes,Yes,No,Yes,4,5,1,1,Medium,West,12th,B,Master,Farmer,Noisy,No,Anxious,Good,Cycle,Yes
S8_W_B_0001,14,Female,Urban,Low,85.04,3.3,3,96.71,71.81,No,5.3,Medium,Neutral,Yes,No,No,No,Yes,Yes,3,0,2,0,Low,West,8th,B,Bachelor,Teacher,Shared,Yes,Anxious,Average,Cycle,Yes
S8_S_A_0001,13,Male,Urban,Low,77.63,2.0,0,95.81,67.43,No,4.0,Low,Positive,No,Yes,Yes,No,Yes,No,10,1,1,4,High,South,8th,A,High School,Engineer,Noisy,Yes,Stable,Poor,Cycle,No
S12_S_A_0001,17,Female,Suburban,High,88.1,1.5,1,75.06,46.25,No,6.6,Medium,Positive,No,Yes,No,No,No,Yes,11,6,4,0,Low,South,12th,A,Bachelor,Engineer,Shared,No,Stressed,Average,Cycle,No
S11_S_C_0001,16,Female,Urban,Medium,79.14,2.9,1,88.26,70.48,Yes,4.3,Low,Neutral,Yes,Yes,Yes,No,Yes,Yes,11,2,4,3,Low,South,11th,C,Bachelor,Engineer,Quiet,Yes,Stable,Average,Cycle,No
S8_E_A_0002,13,Male,Urban,Medium,89.59,3.5,3,99.77,52.91,No,8.1,Low,Neutral,Yes,No,Yes,No,No,Yes,9,9,2,3,Low,East,8th,A,,Unemployed,Quiet,No,Stable,Average,Walk,Yes
S11_E_C_0001,16,Female,Suburban,Low,81.23,3.3,0,98.78,95.85,No,4.6,Low,Positive,Yes,No,Yes,No,Yes,Yes,8,9,2,1,High,East,11th,C,Master,Engineer,Quiet,No,Anxious,Poor,Walk,No
S12_E_A_0001,17,Male,Suburban,High,82.44,4.0,3,46.84,47.84,No,6.5,High,Neutral,No,No,Yes,No,No,No,13,8,3,1,High,East,12th,A,Master,Unemployed,Noisy,No,Stressed,Poor,Bus,Yes
S7_S_C_0001,12,Male,Rural,Low,80.16,1.2,1,72.51,44.5,No,4.3,High,Neutral,Yes,Yes,Yes,Yes,Yes,No,12,7,3,4,Low,South,7th,C,,Unemployed,Noisy,No,Stressed,Average,Cycle,No
S9_N_D_0002,14,Female,Rural,Medium,97.37,1.5,1,80.57,89.93,No,6.2,Low,Negative,Yes,No,Yes,No,Yes,No,9,4,3,0,Low,North,9th,D,High School,Engineer,Quiet,Yes,Anxious,Good,Car,Yes
S11_W_B_0002,17,Male,Rural,Medium,93.45,4.9,2,40.03,84.19,Yes,7.0,Low,Negative,No,Yes,Yes,Yes,No,Yes,13,9,3,4,High,West,11th,B,Bachelor,Engineer,Shared,Yes,Stable,Average,Bus,No
S8_N_A_0001,14,Female,Suburban,Medium,89.87,5.1,3,72.44,90.88,Yes,5.8,High,Neutral,No,No,No,No,Yes,No,14,8,2,3,Medium,North,8th,A,High School,Engineer,Quiet,Yes,Stressed,Average,Bus,Yes
S10_W_A_0001,15,Female,Urban,Medium,92.79,4.5,0,80.74,96.65,No,8.5,High,Negative,No,Yes,Yes,No,No,Yes,15,2,4,2,High,West,10th,A,Bachelor,Engineer,Shared,No,Anxious,Good,Walk,No
S11_E_A_0001,16,Female,Suburban,Low,94.15,2.8,1,67.91,81.89,Yes,7.5,Medium,Positive,Yes,Yes,Yes,Yes,No,No,12,4,2,1,Low,East,11th,A,Bachelor,Unemployed,Noisy,Yes,Stressed,Good,Cycle,No
S12_S_B_0002,17,Female,Suburban,Low,80.7,4.3,1,80.96,46.67,No,4.5,Medium,Negative,No,Yes,Yes,No,No,Yes,2,3,0,0,High,South,12th,B,Master,Teacher,Noisy,Yes,Stressed,Poor,Car,Yes
S10_W_A_0002,15,Female,Rural,High,81.58,1.3,1,50.98,57.43,Yes,4.5,Low,Positive,Yes,Yes,Yes,Yes,Yes,No,4,9,1,2,Medium,West,10th,A,,Farmer,Noisy,Yes,Stressed,Good,Walk,No
S11_S_A_0001,16,Female,Rural,Low,92.88,1.5,1,78.75,42.99,Yes,6.8,Medium,Positive,No,No,No,Yes,Yes,No,4,2,0,2,Medium,South,11th,A,,Engineer,Noisy,Yes,Anxious,Poor,Walk,No
S11_E_A_0002,16,Male,Rural,High,75.71,3.6,2,46.92,97.25,No,6.8,Medium,Neutral,No,No,Yes,No,Yes,No,16,5,1,4,Medium,East,11th,A,Master,Unemployed,Noisy,No,Anxious,Good,Cycle,Yes
S8_W_A_0001,14,Female,Rural,Medium,86.46,1.2,1,44.97,77.34,Yes,7.3,Medium,Neutral,No,Yes,No,No,No,Yes,5,1,4,2,Medium,West,8th,A,Master,Teacher,Quiet,Yes,Stable,Good,Walk,No
S11_S_B_0001,16,Female,Urban,High,82.48,5.8,2,89.38,95.14,No,6.9,High,Negative,No,Yes,Yes,Yes,No,No,15,7,1,4,Medium,South,11th,B,,Farmer,Noisy,Yes,Anxious,Poor,Car,Yes
S8_E_A_0003,13,Female,Suburban,Medium,98.19,5.3,1,87.69,96.89,Yes,5.3,Low,Negative,Yes,Yes,No,Yes,Yes,Yes,0,5,4,1,Medium,East,8th,A,Master,Engineer,Noisy,No,Stable,Average,Cycle,Yes
S12_E_A_0002,17,Male,Suburban,Medium,98.18,3.6,2,65.03,96.09,No,4.1,High,Negative,No,Yes,No,No,No,Yes,4,3,0,1,Medium,East,12th,A,Master,Unemployed,Quiet,Yes,Stressed,Good,Cycle,No
S10_E_A_0001,15,Male,Urban,Low,95.94,5.5,0,92.75,53.43,No,8.5,Medium,Positive,Yes,No,Yes,Yes,Yes,Yes,7,9,3,1,Low,East,10th,A,,Engineer,Quiet,Yes,Anxious,Poor,Walk,No
S12_S_C_0001,17,Female,Suburban,High,83.5,5.0,0,81.73,74.75,No,7.7,High,Positive,Yes,No,Yes,No,Yes,Yes,1,0,1,2,Medium,South,12th,C,Bachelor,Unemployed,Quiet,Yes,Stable,Average,Car,No
S10_E_D_0001,15,Female,Rural,High,78.67,4.3,2,71.47,92.84,Yes,5.1,High,Positive,Yes,Yes,Yes,Yes,Yes,No,2,2,0,4,Medium,East,10th,D,Bachelor,Engineer,Shared,Yes,Anxious,Good,Walk,No
S8_N_B_0001,14,Male,Suburban,High,87.69,1.8,2,63.09,54.74,Yes,5.6,High,Positive,No,No,No,No,Yes,Yes,15,0,3,2,Low,North,8th,B,High School,Teacher,Noisy,Yes,Anxious,Good,Bus,Yes
S8_W_B_0002,13,Male,Suburban,Low,86.02,1.6,3,88.93,64.64,No,5.4,Medium,Neutral,No,No,No,No,No,No,8,2,0,4,Medium,West,8th,B,Master,Teacher,Noisy,No,Stable,Good,Bus,Yes
S10_N_C_0001,16,Male,Suburban,Medium,96.57,2.5,3,59.33,85.62,No,6.8,Medium,Neutral,No,Yes,No,No,Yes,No,4,1,3,4,Low,North,10th,C,Master,Farmer,Shared,No,Anxious,Average,Bus,No
S8_E_C_0001,13,Female,Urban,High,88.22,2.4,1,72.38,92.6,No,6.0,Medium,Negative,No,No,Yes,No,Yes,No,12,1,1,0,Medium,East,8th,C,,Unemployed,Shared,Yes,Stable,Average,Cycle,Yes
S6_N_A_0001,11,Female,Rural,Medium,91.84,1.3,0,90.89,45.17,No,5.4,High,Negative,Yes,Yes,Yes,No,No,No,3,7,4,4,Low,North,6th,A,,Farmer,Noisy,No,Anxious,Good,Car,Yes
S8_N_D_0001,14,Male,Suburban,Medium,99.63,3.8,1,97.09,83.51,No,4.5,Low,Positive,No,Yes,No,Yes,Yes,Yes,0,2,3,4,Medium,North,8th,D,High School,Unemployed,Noisy,Yes,Stable,Poor,Bus,No
S10_E_C_0001,15,Female,Urban,High,79.54,1.4,1,46.79,49.66,No,7.6,High,Neutral,Yes,Yes,No,Yes,Yes,No,13,5,0,2,High,East,10th,C,Bachelor,Teacher,Noisy,No,Stable,Poor,Walk,Yes
S12_W_C_0001,17,Female,Rural,Medium,94.45,4.8,2,99.64,86.83,No,8.2,High,Neutral,Yes,Yes,No,Yes,No,Yes,6,7,2,0,High,West,12th,C,High School,Farmer,Shared,No,Anxious,Average,Walk,No
